adult,genres,id,original_language,popularity,production_companies,production_countries,runtime,spoken_languages,status,title,vote_average,vote_count,likeable
0,80,466420,26.0,0.053822289194767704,562,235.0,206,26.0,1,Killers of the Flower Moon,0.8,0.016557533100643264,1
0,12,447277,26.0,0.040003573745073795,2,235.0,135,26.0,1,The Little Mermaid,0.7000000000000001,0.06588398188478957,1
0,28,875279,114.0,0.05231273364765407,198730,46.0,82,114.0,1,One More Shot,0.6000000000000001,0.0005192257766752242,0
0,28,717930,26.0,0.040641360611982744,3528,233.0,119,26.0,1,Kandahar,0.7000000000000001,0.019528658378284824,0
0,16,901362,26.0,0.04239727945138793,521,235.0,92,26.0,1,Trolls Band Together,0.7000000000000001,0.00034615051778348285,0
0,18,1010581,28.0,0.04258750399232349,32485,209.0,117,28.0,1,My Fault,0.8,0.052961029220872875,1
0,27,1024773,26.0,0.04385970095914253,90733,40.0,99,26.0,1,It Lives Inside,0.6000000000000001,0.0015576773300256727,0
0,14,616747,26.0,0.03399349128160971,2,235.0,123,26.0,1,Haunted Mansion,0.7000000000000001,0.017105604753800446,0
0,28,1171541,26.0,0.07063760395869653,769,235.0,92,26.0,1,Sniper: G.R.I.T. - Global Response & Intelligence Team,0.7000000000000001,0.00121152681224219,1
0,53,852436,35.0,0.03248027757024731,3416,76.0,97,35.0,1,Let Her Kill You,0.7000000000000001,0.0025672830068941646,0
0,18,1058694,26.0,0.03920285787047004,105116,144.0,127,28.0,1,Radical,0.9,0.00017307525889174142,1
0,16,642538,52.0,0.037872270974295776,99494,112.0,99,52.0,1,Inu-Oh,0.7000000000000001,0.002105748983182854,0
0,878,1067820,28.0,0.04850359977431941,149950,209.0,112,28.0,1,Awareness,0.6000000000000001,0.0022499783655926383,0
0,16,1003581,26.0,0.050551890356375556,2785,235.0,90,26.0,1,Justice League: Warworld,0.7000000000000001,0.004932644878414631,0
0,28,732684,90.0,0.04782163353917543,3419,183.0,105,28.0,1,Raiders of the Lost Library,0.5,0.00046153402371131047,0
0,878,55241,26.0,0.0679188844287425,307,235.0,90,26.0,1,Meteor Storm,0.5,0.0013846020711339314,0
0,28,818511,85.0,0.037851869673677686,4243,32.0,100,85.0,1,Overhaul,0.7000000000000001,0.0026249747598580783,0
0,80,957992,114.0,0.04728810435335616,None,46.0,72,114.0,1,The Great Arms Robbery,0.7000000000000001,0.0004903799001932674,0
0,28,963746,90.0,0.03176369947336505,155132,115.0,112,90.0,1,Summer 1941,0.6000000000000001,0.00023076701185565523,0
0,27,830764,26.0,0.02970105763156377,96540,40.0,87,26.0,1,Pet Sematary: Bloodlines,0.6000000000000001,0.004701877866558976,0
0,878,447365,26.0,0.040602246394246,420,235.0,150,26.0,1,Guardians of the Galaxy Vol. 3,0.8,0.1489889520293074,1
0,10751,1039960,26.0,0.05815988710342335,137586,40.0,94,26.0,1,Monster High 2,0.8,0.0007211469120489226,1
0,35,597845,90.0,0.031815617265972464,123331,183.0,85,90.0,1,Finnick,0.7000000000000001,0.0010961433063143623,0
0,35,1151590,85.0,0.025280166136936347,163183,32.0,83,85.0,1,The Doorman,0.6000000000000001,0.0002596128883376121,0
0,35,884605,26.0,0.03699726622571718,117188,235.0,104,26.0,1,No Hard Feelings,0.7000000000000001,0.0465860905183604,0
0,12,315162,26.0,0.03573632514889433,521,235.0,103,26.0,1,Puss in Boots: The Last Wish,0.8,0.18819049816828684,1
0,35,974931,26.0,0.03021249713326552,68884,235.0,105,26.0,1,Totally Killer,0.7000000000000001,0.011538350592782761,0
0,18,960139,35.0,0.03143474608822649,30231,22.0,89,35.0,1,The House,0.6000000000000001,0.0013269103181700176,0
0,27,467405,26.0,0.03782935789368531,101124,235.0,101,26.0,1,Don't Sleep,0.5,0.00121152681224219,0
0,878,76600,26.0,0.03388599753214612,127928,235.0,192,26.0,1,Avatar: The Way of Water,0.8,0.2894395246199556,1
0,16,496450,35.0,0.03164129166965651,84713,76.0,107,35.0,1,"Miraculous: Ladybug & Cat Noir, The Movie",0.8,0.017999826924741107,1
